State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Jharkhand,Godda,637610,53.4,Bharatiya Janata Party,Nishikant Dubey,23.75,85.5
Jharkhand,Hazaribagh,728798,67.42,Bharatiya Janata Party,JAYANT SINHA,23.75,85.5
Jharkhand,Jamshedpur,679632,59.4,Bharatiya Janata Party,Bidyut Baran Mahato,23.75,85.5
Jharkhand,Khunti,382638,45.97,Bharatiya Janata Party,ARJUN MUNDA,23.75,85.5
Jharkhand,Kodarma,753016,62.26,Bharatiya Janata Party,ANNPURNA DEVI,23.75,85.5
Jharkhand,Lohardaga,371595,45.45,Bharatiya Janata Party,SUDARSHAN BHAGAT,23.75,85.5
Jharkhand,Palamau,755659,62.46,Bharatiya Janata Party,VISHNU DAYAL RAM,23.75,85.5
Jharkhand,Rajmahal,507830,48.47,Jharkhand Mukti Morcha,VIJAY KUMAR HANSDAK,23.75,85.5
Jharkhand,Ranchi,706828,57.21,Bharatiya Janata Party,SANJAY SETH,23.75,85.5
Jharkhand,Singhbhum,431815,49.11,Indian National Congress,GEETA KORA,23.75,85.5
Karnataka,Bagalkot,664638,55.17,Bharatiya Janata Party,Gaddigoudar Parvatagouda Chandanagouda,15,75
Karnataka,Bangalore central,602853,50.35,Bharatiya Janata Party,P. C. Mohan,15,75
Karnataka,Bangalore North,824500,52.87,Bharatiya Janata Party,D.V. Sadananda Gowda,15,75
Karnataka,Bangalore Rural,878258,54.15,Indian National Congress,D.K. SURESH,15,75
Karnataka,Bangalore South,739229,62.2,Bharatiya Janata Party,TEJASVI SURYA,15,75
Karnataka,Belgaum,761991,63.22,Bharatiya Janata Party,ANGADI SURESH CHANNABASAPPA,15,75
Karnataka,Bellary,616388,50.44,Bharatiya Janata Party,Y. DEVENDRAPPA,15,75
Karnataka,Bidar,585471,52.41,Bharatiya Janata Party,BHAGWANTH KHUBA,15,75
Karnataka,Bijapur,635867,57.22,Bharatiya Janata Party,JIGAJINAGI RAMESH CHANDAPPA,15,75
Karnataka,Chamarajanagar,568537,44.74,Bharatiya Janata Party,V. SRINIVAS PRASAD,15,75
Karnataka,Chikkballapur,745912,53.78,Bharatiya Janata Party,B.N.Bache Gowda,15,75
Karnataka,Chikkodi,645017,52.98,Bharatiya Janata Party,ANNASAHEB SHANKAR JOLLE,15,75
