State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Chhattisgarh,JANJGIR CHAMPA,572790,45.91,Bharatiya Janata Party,GUHARAM AJGALLEY,21.9706,82.4753
Chhattisgarh,KANKER,546233,47.12,Bharatiya Janata Party,MOHAN MANDAVI,20.199,81.0755
Chhattisgarh,KORBA,523410,46.03,Indian National Congress,JYOTSNA CHARANDAS MAHANT,22.3595,82.7501
Chhattisgarh,MAHASAMUND,616580,50.44,Bharatiya Janata Party,CHUNNI LAL SAHU,21.1124,82.096
Chhattisgarh,RAIGARH,658335,48.76,Bharatiya Janata Party,GOMATI SAI,21.8974,83.395
Chhattisgarh,RAIPUR,837902,60.01,Bharatiya Janata Party,Sunil Kumar Soni,21.2514,81.6296
Chhattisgarh,RAJNANDGAON,662387,50.68,Bharatiya Janata Party,SANTOSH PANDEY,21.0972,81.0338
Chhattisgarh,SARGUJA,663711,51.82,Bharatiya Janata Party,Renuka Singh Saruta,22.9494,83.1649
Dadra & Nagar Haveli,Dadra And Nagar Haveli,90421,45.44,Independent,DELKAR MOHANBHAI SANJIBHAI,20.1809,73.0169
Daman & Diu,Daman & diu,37597,42.98,Bharatiya Janata Party,LALUBHAI BABUBHAI PATEL,20.4283,72.8397
Goa,North Goa,244844,57.12,Bharatiya Janata Party,SHRIPAD YESSO NAIK,15.5163,73.983
Goa,South Goa,201561,47.47,Indian National Congress,COSME FRANCISCO CAITANO SARDINHA,15.1177,74.124
Gujarat,Ahmedabad East,749834,67.17,Bharatiya Janata Party,Patel Hasmukhbhai Somabhai,23.2217,72.757
Gujarat,Ahmedabad West,641622,64.35,Bharatiya Janata Party,DR. KIRIT P. SOLANKI,23.0417,72.5915
Gujarat,Amreli,529035,58.19,Bharatiya Janata Party,Kachhadiya Naranbhai Bhikhabhai,21.6015,71.2204
Gujarat,Anand,633097,57.1,Bharatiya Janata Party,PATEL MITESH RAMESHBHAI (BAKABHAI),22.5645,72.9289
Gujarat,Banaskantha,679108,61.62,Bharatiya Janata Party,PARBATBHAI SAVABHAI PATEL,24.3455,71.7622
Gujarat,Bardoli,742273,55.06,Bharatiya Janata Party,PARBHUBHAI NAGARBHAI VASAVA,21.1255,73.1122
Gujarat,Bharuch,637795,55.47,Bharatiya Janata Party,Mansukhbhai Dhanjibhai Vasava,21.7051,72.9959
Gujarat,Bhavnagar,661273,63.51,Bharatiya Janata Party,DR.BHARATIBEN DHIRUBHAI SHIYAL,21.7645,72.1519
Gujarat,Chhota Udaipur,764445,62.03,Bharatiya Janata Party,RATHVA GITABEN VAJESINGBHAI,22.3085,74.012
Gujarat,Dahod,561760,52.84,Bharatiya Janata Party,JASHVANTSINH SUMANBHAI BHABHOR,22.8345,74.2606
Gujarat,Gandhinagar,894624,69.67,Bharatiya Janata Party,AMIT SHAH,23.2156,72.6369
